name,sci,kingdom,phylum,class,order,family,genus,mass_g,wild,captive,unrecorded,average,maximum,colonial,pred_global,pred_class,lq_global_maximum,lq_class_maximum,quality,note
Leafcutter ant queen,Atta cephalotes,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,0.05,15.0,20.0,,17.5,20.0,False,2.1758,1.8211,9.1922,10.9824,B,
Warty oreo,Allocyttus verrucosus,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Allocyttus,1100.0,140.0,,,140.0,140.0,False,14.2988,12.8406,9.791,10.9029,C,"demoted to C: 11x above its group's fit, past 3 sd"
Orange roughy,Hoplostethus atlanticus,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,1500.0,149.0,,,149.0,149.0,False,15.1588,13.8319,9.8293,10.7722,A,
Red sea urchin,Mesocentrotus franciscanus,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,500.0,200.0,,,200.0,200.0,False,12.326,19.2549,16.2259,10.3869,A,Little evidence of senescence
Cinnamon Myotis,Myotis fortidens,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,6.5,,,34.0,34.0,34.0,False,5.4409,3.4008,6.2489,9.9978,B,
Arizona Myotis,Myotis occultus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.8,,,34.0,34.0,34.0,False,5.631,3.5368,6.038,9.6131,B,
Little brown bat,Myotis lucifugus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,8.0,34.0,30.0,,32.0,34.0,False,5.6579,3.5562,6.0093,9.5609,A,
Snakelocks anemone,Anemonia viridis,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,20.0,80.0,,,80.0,80.0,False,6.7234,8.4449,11.8988,9.4732,C,
Lesser horseshoe bat,Rhinolophus hipposideros,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,4.6,29.4,,,29.4,29.4,False,5.098,3.1569,5.767,9.3129,B,
Termite queen,Macrotermes bellicosus,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,Macrotermes,0.5,30.0,,,30.0,30.0,False,3.3567,3.2839,8.9373,9.1356,B,
Tiger rockfish,Sebastes nigrocinctus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,1221.0,116.0,,,116.0,116.0,False,14.5826,13.1659,7.9547,8.8106,C,"demoted to C: 9x above its group's fit, past 3 sd"
Mormyrid,Pollimyrus isidori,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,4.0,29.0,,,29.0,29.0,False,4.9656,3.3397,5.8402,8.6835,C,"demoted to C: 9x above its group's fit, past 3 sd"
Shortspine thornyhead,Sebastolobus alascanus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastolobus,1270.5,115.0,,,115.0,115.0,False,14.6921,13.292,7.8273,8.6518,C,"demoted to C: 9x above its group's fit, past 3 sd"
Pacific ocean perch,Sebastes alutus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,770.0,100.0,,,100.0,100.0,False,13.37,11.7881,7.4794,8.4831,C,"demoted to C: 8x above its group's fit, past 3 sd"
Brown big-eared bat,Plecotus auritus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,7.8,30.0,,,30.0,30.0,False,5.631,3.5368,5.3277,8.4822,B,
Kolombatovic's Long-eared Bat,Plecotus kolombatovici,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,8.19,,,30.0,30.0,30.0,False,5.6829,3.5742,5.279,8.3936,B,
Black oreo,Allocyttus niger,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Allocyttus,825.0,100.0,,,100.0,100.0,False,13.5449,11.9847,7.3829,8.344,C,"demoted to C: 8x above its group's fit, past 3 sd"
-999,Terrapene mexicana,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,855.5,,,138.0,138.0,138.0,False,13.6378,16.7428,10.119,8.2424,B,
Canary Long-eared Bat,Plecotus teneriffae,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,9.195,,,30.0,30.0,30.0,False,5.8082,3.6643,5.1652,8.1871,B,
Splitnose rockfish,Sebastes diploproa,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,445.5,84.0,,,84.0,84.0,False,12.061,10.3387,6.9646,8.1248,C,"demoted to C: 8x above its group's fit, past 3 sd"
Sakhalin Myotis,Myotis abei,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.305,,,28.0,28.0,28.0,False,5.5619,3.4873,5.0343,8.0292,B,
Peloponnese Slow Worm,Anguis cephallonica,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,11.655,,,54.0,54.0,54.0,False,6.0733,6.7573,8.8914,7.9914,B,
Slow Worm,Anguis colchica,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,11.655,,,54.0,54.0,54.0,False,6.0733,6.7573,8.8914,7.9914,B,
Greater mouse-eared bat,Myotis myotis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,28.0,37.0,37.0,,37.0,37.0,False,7.1631,4.6565,5.1653,7.9459,B,
Spiky oreo,Neocyttus rhomboidalis,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Neocyttus,1100.0,100.0,,,100.0,100.0,False,14.2988,12.8406,6.9936,7.7878,B,
Daubenton's bat,Myotis daubentonii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,8.5,28.0,,,28.0,28.0,False,5.7228,3.6029,4.8927,7.7716,B,
Chinese Water Myotis,Myotis laniger,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,8.5,,,28.0,28.0,28.0,False,5.7228,3.6029,4.8927,7.7716,B,
Yellowtail barracuda,Sphyraena flavicauda,Animalia,Chordata,Actinopterygii,Carangaria/misc,Sphyraenidae,Sphyraena,1093.6,98.8,,,98.8,98.8,False,14.2831,12.8226,6.9172,7.7051,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Shortraker rockfish,Sebastes borealis,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,8910.0,157.0,,,157.0,157.0,False,21.2017,21.2038,7.4051,7.4043,B,
Lesser mouse-eared bat,Myotis blythii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,23.0,33.0,,,33.0,33.0,False,6.9026,4.4635,4.7808,7.3933,B,
Peters's Myotis,Myotis ater,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Australian Myotis,Myotis australis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
David's Myotis,Myotis davidii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Hajastan Myotis,Myotis hajastanicus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Burmese Whiskered Myotis,Myotis montivagus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Nepalese Whiskered Myotis,Myotis muricola,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Whiskered bat,Myotis mystacinus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,24.0,,,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Nepalese Myotis,Myotis nipalensis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,5.3,,,24.0,24.0,24.0,False,5.2358,3.2546,4.5838,7.3741,B,
Fringed Long-footed Myotis,Myotis fimbriatus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,23.41,,,33.0,33.0,33.0,False,6.9256,4.4805,4.7649,7.3653,B,
Kashmir Cave Myotis,Myotis longipes,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,23.41,,,33.0,33.0,33.0,False,6.9256,4.4805,4.7649,7.3653,B,
Big-footed Myotis,Myotis macrodactylus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,23.41,,,33.0,33.0,33.0,False,6.9256,4.4805,4.7649,7.3653,B,
Aurora rockfish,Sebastes aurora,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,418.683,75.0,,,75.0,75.0,False,11.9208,10.1859,6.2915,7.3631,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Long-fingered Myotis,Myotis capaccinii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,23.82,,,33.0,33.0,33.0,False,6.9483,4.4973,4.7493,7.3378,B,
Monticelli's Myotis,Myotis oxygnathus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,23.82,,,33.0,33.0,33.0,False,6.9483,4.4973,4.7493,7.3378,B,
Maghrebian Myotis,Myotis punicus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,24.705,,,33.0,33.0,33.0,False,6.9962,4.5327,4.7168,7.2804,B,
"Six-tubercled Amazon River Turtle, Amazon River Turtle",Podocnemis sextuberculata,Animalia,Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,14.3,,,50.0,50.0,50.0,False,6.3118,7.0556,7.9217,7.0866,B,
Greek tortoise,Testudo graeca,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,1200.0,50.0,127.0,,88.5,127.0,False,14.5351,17.9832,8.7375,7.0622,B,
Cuban Evening Bat,Nycticeius cubanus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nycticeius,6.65,,,24.0,24.0,24.0,False,5.4643,3.4175,4.3921,7.0227,B,
Eastern box turtle,Terrapene carolina,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,400.0,50.0,100.0,,75.0,100.0,False,11.8188,14.2592,8.4611,7.013,B,
Rosethorn rockfish,Sebastes helvomaculatus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,962.724,87.0,,,87.0,87.0,False,13.9444,12.4367,6.2391,6.9954,B,
European pond turtle,Emys orbicularis,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,1000.0,,120.0,,120.0,120.0,False,14.0445,17.3038,8.5443,6.9349,B,
Greater horseshoe bat,Rhinolophus ferrumequinum,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,22.875,30.5,,,30.5,30.5,False,6.8956,4.4583,4.4231,6.8412,B,
Redbanded rockfish,Sebastes babcocki,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,2442.0,106.0,,,106.0,106.0,False,16.6158,15.5464,6.3795,6.8183,B,
Slow worm,Anguis fragilis,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,25.0,30.0,54.0,,42.0,54.0,False,7.0119,7.9391,7.7012,6.8018,B,
European eel,Anguilla anguilla,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,1000.0,25.0,85.0,,55.0,85.0,False,14.0445,12.5505,6.0522,6.7727,A,Captive record Putte
Far Eastern Myotis,Myotis bombinus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.5,,,23.7,23.7,23.7,False,5.5895,3.5071,4.2401,6.7577,B,
Natterer's bat,Myotis nattereri,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.5,23.7,,,23.7,23.7,False,5.5895,3.5071,4.2401,6.7577,B,
Texas Banded Gecko,Coleonyx brevis,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,3.3,,,34.8,34.8,34.8,False,4.7889,5.1764,7.2668,6.7228,B,
Gray big-eared bat,Plecotus austriacus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,12.0,25.5,,,25.5,25.5,False,6.1068,3.8804,4.1757,6.5715,B,
Greenland shark,Somniosus microcephalus,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,700000.0,392.0,,,392.0,392.0,False,48.2221,60.3716,8.1291,6.4931,A,Eye lens radiocarbon dating; longest-lived vertebrate
China rockfish,Sebastes nebulosus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,918.5,79.0,,,79.0,79.0,False,13.8215,12.2972,5.7157,6.4242,B,
Yelloweye rockfish,Sebastes ruberrimus,Animalia,Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes,5000.0,118.0,,,118.0,118.0,False,19.0162,18.4609,6.2052,6.3919,A,
Naked mole-rat,Heterocephalus glaber,Animalia,Chordata,Mammalia,Rodentia,Heterocephalidae,Heterocephalus,35.0,20.0,31.0,,25.5,31.0,False,7.4705,4.8855,4.1496,6.3453,A,Mortality hazard does not rise with age
Jamaican Greater Funnel-eared Bat,Natalus jamaicensis,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,4.7,,,20.0,20.0,20.0,False,5.1187,3.1716,3.9073,6.306,B,
Hispaniolan Greater Funnel-eared Bat,Natalus major,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,4.7,,,20.0,20.0,20.0,False,5.1187,3.1716,3.9073,6.306,B,
Cuban Greater Funnel-eared Bat,Natalus primus,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,4.7,,,20.0,20.0,20.0,False,5.1187,3.1716,3.9073,6.306,B,
Mexican Greater Funnel-eared Bat,Natalus stramineus,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,4.7,,,20.0,20.0,20.0,False,5.1187,3.1716,3.9073,6.306,B,
Western long-eared myotis,Myotis evotis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.4,22.0,,,22.0,22.0,False,5.5754,3.497,3.9459,6.2911,B,
Smooth oreo,Pseudocyttus maculatus,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Pseudocyttus,2750.0,100.0,,,100.0,100.0,False,16.9916,15.9956,5.8853,6.2517,B,
Tuatara,Sphenodon punctatus,Animalia,Chordata,Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon,700.0,90.0,100.0,,95.0,100.0,False,13.1322,16.0482,7.6149,6.2312,A,Extremely slow metabolism and growth
Quillback rockfish,Sebastes maliger,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,1804.0,90.0,,,90.0,90.0,False,15.6948,14.4577,5.7344,6.2251,B,
Eastern Barbastelle,Barbastella leucomelas,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Barbastella,10.0,,,23.0,23.0,23.0,False,5.9007,3.7311,3.8979,6.1644,B,
Yellowmouth rockfish,Sebastes reedi,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,2811.85,99.0,,,99.0,99.0,False,17.0629,16.0811,5.8021,6.1563,B,
Western barbastelle,Barbastella barbastellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Barbastella,10.25,23.0,,,23.0,23.0,False,5.9282,3.751,3.8798,6.1318,B,
Gray gecko,Woodworthia maculatus,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Woodworthia,6.83,,37.0,,37.0,37.0,False,5.4919,6.036,6.7372,6.1298,B,
Long-legged myotis,Myotis volans,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.0,21.0,,,21.0,21.0,False,5.5174,3.4554,3.8062,6.0774,B,
Little Collared Fruit Bat,Myonycteris torquata,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Myonycteris,37.0,,,30.0,30.0,30.0,False,7.5491,4.9443,3.974,6.0676,B,
Hydra,Hydra vulgaris,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,0.001,4.0,4.0,,4.0,4.0,False,1.0416,0.6688,3.8403,5.9807,B,No detectable increase in mortality with age under laboratory conditions
Geoffroy's bat,Myotis emarginatus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,11.0,22.7,,,22.7,22.7,False,6.0075,3.8084,3.7786,5.9605,B,
Dent's Horseshoe Bat,Rhinolophus denti,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,6.15,,,20.0,20.0,20.0,False,5.3845,3.3605,3.7144,5.9515,B,
Goldfish,Carassius auratus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,100.0,15.0,43.0,,29.0,43.0,False,9.1034,7.2259,4.7235,5.9509,B,Captive record Tish
Common vampire bat,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,35.0,12.0,29.0,,20.5,29.0,False,7.4705,4.8855,3.8819,5.9359,B,
Swinny's Horseshoe Bat,Rhinolophus swinnyi,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,6.3,,,20.0,20.0,20.0,False,5.409,3.378,3.6975,5.9207,B,
Trinidad Dog-like Bat,Peropteryx trinitatis,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Peropteryx,5.68,,,19.4,19.4,19.4,False,5.3045,3.3035,3.6573,5.8726,B,
Clownfish,Amphiprion ocellaris,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,25.0,12.0,30.0,,21.0,30.0,False,7.0119,5.1824,4.2785,5.7888,B,
Southeast Asian Long-fingered Bat,Miniopterus fuscus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,10.905,,,22.0,22.0,22.0,False,5.9977,3.8013,3.6681,5.7875,B,
Intermediate Long-fingered Bat,Miniopterus medius,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,10.91,,,22.0,22.0,22.0,False,5.9982,3.8017,3.6677,5.7869,B,
Foxfish,Bodianus frenchii,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Labridae,Bodianus,1356.12,,,78.0,78.0,78.0,False,14.8737,13.5015,5.2442,5.7771,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Natal Long-fingered Bat,Miniopterus natalensis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,11.185,,,22.0,22.0,22.0,False,6.0264,3.8221,3.6506,5.756,B,
Major's Long-fingered Bat,Miniopterus majori,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,11.46,,,22.0,22.0,22.0,False,6.054,3.8421,3.6339,5.726,B,
Northern Myotis,Myotis septentrionalis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,6.0,,,19.0,19.0,19.0,False,5.3595,3.3427,3.5451,5.6841,B,
Indiana bat,Myotis sodalis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.7,20.0,,,20.0,20.0,False,5.6173,3.527,3.5604,5.6705,B,
Barber surgeonfish,Acanthurus bahianus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,32.5072,,,31.0,31.0,31.0,False,7.3673,5.5192,4.2078,5.6168,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Western Long-fingered Bat,Miniopterus magnater,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,13.0,,,22.0,22.0,22.0,False,6.1995,3.9478,3.5487,5.5727,B,
Schreibers's long-fingered bat,Miniopterus schreibersii,Animalia,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus,13.0,22.0,,,22.0,22.0,False,6.1995,3.9478,3.5487,5.5727,B,
Bechstein's bat,Myotis bechsteinii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,10.5,21.0,,,21.0,21.0,False,5.9551,3.7705,3.5264,5.5696,B,
Sea sweep,Scorpis aequipinnis,Animalia,Chordata,Actinopterygii,Centrarchiformes,Scorpididae,Scorpis,946.63,,,68.0,68.0,68.0,False,13.9002,12.3865,4.892,5.4898,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Fringed myotis,Myotis thysanodes,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,6.0,18.3,,,18.3,18.3,False,5.3595,3.3427,3.4145,5.4746,B,
Keen's myotis,Myotis keenii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.4,19.0,,,19.0,19.0,False,5.5754,3.497,3.4078,5.4332,B,
Canary rockfish,Sebastes pinniger,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,2491.5,84.0,,,84.0,84.0,False,16.6787,15.6214,5.0364,5.3772,B,
Dusky rockfish,Sebastes ciliatus,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,995.5,67.0,,,67.0,67.0,False,14.0326,12.5369,4.7746,5.3442,B,
Mexican Big-eared Bat,Corynorhinus mexicanus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,11.7,,,20.5,20.5,20.5,False,6.0777,3.8593,3.373,5.3119,B,
Blackgill rockfish,Sebastes melanostomus,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,3530.0,90.0,,,90.0,90.0,False,17.8096,16.9825,5.0535,5.2996,C,
Japanese Noctule,Nyctalus furvus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,19.375,,,22.7,22.7,22.7,False,6.6833,4.3018,3.3965,5.2769,B,
Chinese Noctule,Nyctalus plancyi,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,19.375,,,22.7,22.7,22.7,False,6.6833,4.3018,3.3965,5.2769,B,
Flattened Musk Turtle,Sternotherus depressus,Animalia,Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus,144.0,,,60.0,60.0,60.0,False,9.7504,11.4916,6.1536,5.2212,B,
Yellow tang,Zebrasoma flavescens,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Zebrasoma,142.58,,,41.0,41.0,41.0,False,9.7323,7.8673,4.2128,5.2114,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Silvergray rockfish,Sebastes brevispinis,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Sebastes,2590.5,82.0,,,82.0,82.0,False,16.8015,15.768,4.8805,5.2004,B,
Soprano Pipistrelle,Pipistrellus pygmaeus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,5.0,,,16.7,16.7,16.7,False,5.1786,3.2141,3.2248,5.1959,B,
White-ear scalyfin,Parma microlepis,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Pomacentridae,Parma,96.6358,37.0,,,37.0,37.0,False,9.0449,7.1668,4.0907,5.1627,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Telescope cardinal,Epigonus telescopus,Animalia,Chordata,Actinopterygii,Perciformes,Epigonidae,Epigonus,7545.39,104.0,,,104.0,104.0,False,20.5483,20.3752,5.0612,5.1042,B,
Brooks's Dyak Fruit Bat,Dyacopterus brooksi,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Dyacopterus,83.05,,,30.0,30.0,30.0,False,8.7905,5.8839,3.4128,5.0987,B,
Townsend's big-eared bat,Corynorhinus townsendii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,14.25,20.5,,,20.5,20.5,False,6.3076,4.0266,3.25,5.0912,B,
Dyak Fruit Bat,Dyacopterus spadiceus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Dyacopterus,85.0,,,30.0,30.0,30.0,False,8.829,5.9134,3.3979,5.0733,B,
Japanese Short-tailed Bat,Eptesicus japonensis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,13.0,,,20.0,20.0,20.0,False,6.1995,3.9478,3.2261,5.0661,B,
Northern bat,Eptesicus nilssonii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,13.0,20.0,,,20.0,20.0,False,6.1995,3.9478,3.2261,5.0661,B,
Pond bat,Myotis dasycneme,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,15.0,20.5,,,20.5,20.5,False,6.3688,4.0712,3.2188,5.0353,B,
Human,Homo sapiens,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,62000.0,70.0,122.5,,96.25,122.5,False,30.5505,24.4293,4.0098,5.0145,A,Wild = pre-industrial adult expectancy at age 15; captive = verified record
Otago skink,Oligosoma otagense,Animalia,Chordata,Reptilia,Squamata,Scincidae,Oligosoma,40.64,,44.0,,44.0,44.0,False,7.6837,8.7971,5.7264,5.0016,B,
