common_name,scientific_name,kingdom,phylum,class,order,family,genus,mass_g,wild_yr,captive_yr,colonial,quality,note
Big brown bat,Eptesicus fuscus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,18,19,20,no,B,
Greater mouse-eared bat,Myotis myotis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,28,37,37,no,B,
Common pipistrelle,Pipistrellus pipistrellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,6,16,16,no,B,
Common vampire bat,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,35,12,29,no,B,
Jamaican fruit bat,Artibeus jamaicensis,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,45,10,20,no,B,
Indian flying fox,Pteropus giganteus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,900,15,31,no,B,
Egyptian fruit bat,Rousettus aegyptiacus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus,140,12,25,no,B,
Mexican free-tailed bat,Tadarida brasiliensis,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,12,18,12,no,B,
House mouse,Mus musculus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,20,2,4,no,A,
Brown rat,Rattus norvegicus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,300,2,4.7,no,A,
White-footed mouse,Peromyscus leucopus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,22,3,8.2,no,A,
Golden hamster,Mesocricetus auratus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,120,2,4,no,B,
Meadow vole,Microtus pennsylvanicus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,45,1,3,no,B,
Muskrat,Ondatra zibethicus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,1200,4,10,no,B,
Guinea pig,Cavia porcellus,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,800,8,14.8,no,B,
Capybara,Hydrochoerus hydrochaeris,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,50000,10,15,no,B,
Patagonian mara,Dolichotis patagonum,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Dolichotis,9000,10,14,no,B,
Eastern grey squirrel,Sciurus carolinensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,500,12,20,no,B,
Alpine marmot,Marmota marmota,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,4000,15,18,no,B,
Black-tailed prairie dog,Cynomys ludovicianus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,900,8,12,no,B,
Eastern chipmunk,Tamias striatus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,100,3,8,no,B,
American beaver,Castor canadensis,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,20000,24,24,no,B,
North American porcupine,Erethizon dorsatum,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,8000,18,23,no,B,
Naked mole-rat,Heterocephalus glaber,Animalia,Chordata,Mammalia,Rodentia,Heterocephalidae,Heterocephalus,35,20,31,no,A,Mortality hazard does not rise with age
Damaraland mole-rat,Fukomys damarensis,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Fukomys,130,15,20,no,B,
Chinchilla,Chinchilla lanigera,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,500,10,20,no,B,
Crested porcupine,Hystrix cristata,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,20000,15,28,no,B,
Edible dormouse,Glis glis,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Glis,150,12,13,no,B,
European rabbit,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,1600,9,18,no,B,
European hare,Lepus europaeus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,4000,12,13,no,B,
Eastern cottontail,Sylvilagus floridanus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,1200,3,9,no,B,
American pika,Ochotona princeps,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,150,7,7,no,B,
Grey wolf,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,40000,13,20,no,A,
Domestic dog,Canis familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,30000,7,29.5,no,A,Wild = feral; captive record Bluey
Red fox,Vulpes vulpes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,6000,9,21,no,B,
Arctic fox,Vulpes lagopus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,3500,6,16,no,B,
African wild dog,Lycaon pictus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,25000,11,17,no,B,
Domestic cat,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,4500,5,38,no,A,Wild = feral; captive record Creme Puff
Lion,Panthera leo,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,175000,16,30,no,A,
Tiger,Panthera tigris,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,200000,16,26,no,A,
Leopard,Panthera pardus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,60000,17,27,no,B,
Snow leopard,Panthera uncia,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,40000,15,25,no,B,
Jaguar,Panthera onca,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,85000,15,32,no,B,
Cheetah,Acinonyx jubatus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,50000,12,20,no,B,
Cougar,Puma concolor,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,60000,13,21,no,B,
Eurasian lynx,Lynx lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,22000,17,24,no,B,
Brown bear,Ursus arctos,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,250000,33,45,no,A,
Polar bear,Ursus maritimus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,400000,32,43,no,A,
American black bear,Ursus americanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,120000,31,44,no,B,
Giant panda,Ailuropoda melanoleuca,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,100000,20,38,no,A,
Stoat,Mustela erminea,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,200,4,10,no,B,
European badger,Meles meles,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,11000,14,19,no,B,
Sea otter,Enhydra lutris,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,30000,23,28,no,B,
Wolverine,Gulo gulo,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,14000,13,18,no,B,
Common raccoon,Procyon lotor,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,6000,16,20,no,B,
Meerkat,Suricata suricatta,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Suricata,730,12,16,no,B,
Spotted hyena,Crocuta crocuta,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta,55000,20,41,no,B,
California sea lion,Zalophus californianus,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,150000,25,31,no,B,
Harbor seal,Phoca vitulina,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,80000,35,35,no,B,
Grey seal,Halichoerus grypus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,200000,46,41,no,B,
Northern elephant seal,Mirounga angustirostris,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,2000000,23,25,no,B,
Walrus,Odobenus rosmarus,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,1000000,40,40,no,B,
Bowhead whale,Balaena mysticetus,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,Balaena,80000000,211,,no,A,Aspartic acid racemisation and recovered harpoon points
North Atlantic right whale,Eubalaena glacialis,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,Eubalaena,60000000,70,,no,B,
Blue whale,Balaenoptera musculus,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,150000000,90,,no,B,Earplug lamina counts
Fin whale,Balaenoptera physalus,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,70000000,94,,no,B,
Humpback whale,Megaptera novaeangliae,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,30000000,95,,no,B,
Sperm whale,Physeter macrocephalus,Animalia,Chordata,Mammalia,Artiodactyla,Physeteridae,Physeter,30000000,77,,no,B,
Killer whale,Orcinus orca,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcinus,5000000,90,50,no,A,Wild maximum is female; captive maxima markedly lower
Bottlenose dolphin,Tursiops truncatus,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Tursiops,250000,50,51,no,A,
Long-finned pilot whale,Globicephala melas,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Globicephala,1800000,59,35,no,B,
Beluga,Delphinapterus leucas,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,Delphinapterus,1500000,70,40,no,B,
Narwhal,Monodon monoceros,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,Monodon,1600000,115,,no,B,
Harbour porpoise,Phocoena phocoena,Animalia,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,55000,24,20,no,B,
Domestic cattle,Bos taurus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,750000,,30,no,B,
American bison,Bison bison,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,700000,20,33,no,B,
Domestic sheep,Ovis aries,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,60000,,22,no,B,
Domestic goat,Capra hircus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,55000,,22,no,B,
African buffalo,Syncerus caffer,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus,600000,22,29,no,B,
Blue wildebeest,Connochaetes taurinus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,200000,20,24,no,B,
Gemsbok,Oryx gazella,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,200000,18,20,no,B,
Red deer,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,200000,20,27,no,B,
White-tailed deer,Odocoileus virginianus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,70000,16,23,no,B,
Moose,Alces alces,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,450000,22,27,no,B,
Reindeer,Rangifer tarandus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,120000,17,20,no,B,
Giraffe,Giraffa camelopardalis,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,1200000,27,39,no,A,
Okapi,Okapia johnstoni,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia,250000,20,33,no,B,
Hippopotamus,Hippopotamus amphibius,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,1500000,40,61,no,A,
Domestic pig,Sus scrofa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,100000,8,27,no,B,
Warthog,Phacochoerus africanus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,70000,15,21,no,B,
Bactrian camel,Camelus bactrianus,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,500000,40,40,no,B,
Llama,Lama glama,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,140000,,28,no,B,
Pronghorn,Antilocapra americana,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,50000,12,15,no,B,
Horse,Equus caballus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,500000,25,62,no,A,Wild = feral; captive record Old Billy
Plains zebra,Equus quagga,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,300000,20,40,no,B,
Donkey,Equus asinus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,200000,,54,no,B,
White rhinoceros,Ceratotherium simum,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,2300000,40,50,no,B,
Black rhinoceros,Diceros bicornis,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,1000000,35,45,no,B,
Brazilian tapir,Tapirus terrestris,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,225000,25,35,no,B,
African bush elephant,Loxodonta africana,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,4000000,65,80,no,A,Median zoo lifespan far below wild median
Asian elephant,Elephas maximus,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,3000000,60,86,no,A,
West Indian manatee,Trichechus manatus,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,500000,59,69,no,A,Captive record Snooty
Dugong,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,300000,73,,no,B,
Common shrew,Sorex araneus,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,9,1.2,2,no,A,Among the shortest-lived mammals
Northern short-tailed shrew,Blarina brevicauda,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Blarina,20,1.5,3,no,B,
European hedgehog,Erinaceus europaeus,Animalia,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,800,7,11,no,B,
Star-nosed mole,Condylura cristata,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Condylura,55,3,3.5,no,C,
European mole,Talpa europaea,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,100,3,6,no,B,
Nine-banded armadillo,Dasypus novemcinctus,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,4500,12,15,no,B,
Linnaeus's two-toed sloth,Choloepus didactylus,Animalia,Chordata,Mammalia,Pilosa,Choloepodidae,Choloepus,6000,20,41,no,B,Captive record Paula
Brown-throated sloth,Bradypus variegatus,Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,4000,20,32,no,B,
Giant anteater,Myrmecophaga tridactyla,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,35000,15,26,no,B,
Aardvark,Orycteropus afer,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,60000,18,24,no,C,
Rock hyrax,Procavia capensis,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,4000,12,15,no,B,
Platypus,Ornithorhynchus anatinus,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,1700,21,23,no,B,
Short-beaked echidna,Tachyglossus aculeatus,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,4500,45,50,no,A,
Koala,Phascolarctos cinereus,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,8000,18,20,no,B,
Red kangaroo,Osphranter rufus,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Osphranter,55000,22,25,no,B,
Common wombat,Vombatus ursinus,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,26000,15,34,no,B,
Sugar glider,Petaurus breviceps,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,130,9,17,no,B,
Virginia opossum,Didelphis virginiana,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,3000,3,6,no,A,Classic short-lived high-predation life history
Grey short-tailed opossum,Monodelphis domestica,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,100,2,4,no,A,
Tasmanian devil,Sarcophilus harrisii,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,8000,6,8,no,B,
Common treeshrew,Tupaia glis,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,150,7,12,no,B,
Tailless tenrec,Tenrec ecaudatus,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec,900,5,10,no,B,
Chinese pangolin,Manis pentadactyla,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,4000,12,19,no,C,
Ostrich,Struthio camelus,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,120000,30,62,no,B,
Emu,Dromaius novaehollandiae,Animalia,Chordata,Aves,Casuariiformes,Dromaiidae,Dromaius,40000,20,35,no,B,
Southern cassowary,Casuarius casuarius,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,45000,20,40,no,B,
Greater rhea,Rhea americana,Animalia,Chordata,Aves,Rheiformes,Rheidae,Rhea,25000,15,30,no,B,
Brown kiwi,Apteryx mantelli,Animalia,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,2200,35,35,no,B,
Emperor penguin,Aptenodytes forsteri,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,30000,25,35,no,B,
Adelie penguin,Pygoscelis adeliae,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,4500,20,25,no,B,
African penguin,Spheniscus demersus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,3100,27,40,no,B,
Little penguin,Eudyptula minor,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,1100,21,25,no,B,
Laysan albatross,Phoebastria immutabilis,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,3100,74,,no,A,Wisdom banded 1956 and still breeding
Wandering albatross,Diomedea exulans,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,8500,50,,no,B,
Northern fulmar,Fulmarus glacialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,800,51,,no,A,
European storm petrel,Hydrobates pelagicus,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,28,33,,no,A,Extreme lifespan for a 28 gram bird
Manx shearwater,Puffinus puffinus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,420,55,,no,A,
Greater flamingo,Phoenicopterus roseus,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,3000,40,83,no,A,Captive record Greater at Adelaide Zoo
Mute swan,Cygnus olor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,11000,27,30,no,B,
Canada goose,Branta canadensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,4500,33,33,no,B,
Mallard,Anas platyrhynchos,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,1100,29,29,no,B,
Wood duck,Aix sponsa,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,680,22,15,no,B,
Common eider,Somateria mollissima,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,2200,36,,no,B,
Chicken,Gallus gallus domesticus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,2000,8,16,no,B,
Wild turkey,Meleagris gallopavo,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,7000,13,15,no,B,
Indian peafowl,Pavo cristatus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,4500,20,23,no,B,
Common pheasant,Phasianus colchicus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,1200,7,18,no,B,
Japanese quail,Coturnix japonica,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,100,3,6,no,A,
Bald eagle,Haliaeetus leucocephalus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,4500,38,50,no,A,
Golden eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,4500,32,46,no,A,
Red-tailed hawk,Buteo jamaicensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,1100,30,29,no,B,
Griffon vulture,Gyps fulvus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,8000,37,41,no,B,
Andean condor,Vultur gryphus,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Vultur,11000,50,79,no,A,
California condor,Gymnogyps californianus,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Gymnogyps,9000,45,60,no,B,
Turkey vulture,Cathartes aura,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,2000,17,30,no,B,
Peregrine falcon,Falco peregrinus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,900,20,25,no,B,
American kestrel,Falco sparverius,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,120,11,17,no,B,
Great horned owl,Bubo virginianus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,1400,28,38,no,B,
Eurasian eagle-owl,Bubo bubo,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,2800,20,68,no,B,
Tawny owl,Strix aluco,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,450,22,27,no,B,
Little owl,Athene noctua,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,170,15,18,no,B,
Barn owl,Tyto alba,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,460,15,25,no,B,
Grey parrot,Psittacus erithacus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,400,23,60,no,A,
Scarlet macaw,Ara macao,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,1000,40,64,no,B,
Blue-and-yellow macaw,Ara ararauna,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,1100,35,62,no,B,
Amazon parrot,Amazona amazonica,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,400,25,71,no,B,
Sulphur-crested cockatoo,Cacatua galerita,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,900,40,83,no,A,Cocky Bennett claims of 120 are unverified
Cockatiel,Nymphicus hollandicus,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Nymphicus,90,10,36,no,B,
Budgerigar,Melopsittacus undulatus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Melopsittacus,35,6,21,no,B,
Kakapo,Strigops habroptilus,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Strigops,2000,60,,no,B,
Rock pigeon,Columba livia,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,350,6,24,no,B,
Mourning dove,Zenaida macroura,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,120,31,,no,B,
Eurasian collared dove,Streptopelia decaocto,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,200,17,,no,B,
Common raven,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,1200,23,44,no,A,
American crow,Corvus brachyrhynchos,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,450,17,30,no,B,
Eurasian magpie,Pica pica,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,220,21,15,no,B,
Blue jay,Cyanocitta cristata,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,85,17,26,no,B,
American robin,Turdus migratorius,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,77,14,17,no,B,
Common blackbird,Turdus merula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,100,21,20,no,B,
House sparrow,Passer domesticus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,28,13,20,no,B,
Barn swallow,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,19,11,,no,B,
Great tit,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,18,15,,no,A,
Black-capped chickadee,Poecile atricapillus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,11,12,,no,B,
European starling,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,80,15,20,no,B,
Zebra finch,Taeniopygia guttata,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,12,5,14.5,no,A,
Canary,Serinus canaria,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,20,10,24,no,B,
Song sparrow,Melospiza melodia,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,22,11,,no,B,
Red-winged blackbird,Agelaius phoeniceus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,64,16,,no,B,
European robin,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,18,13,,no,B,
Ruby-throated hummingbird,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,3.2,9,12,no,B,
