common_name,scientific_name,kingdom,phylum,class,order,family,genus,mass_g,wild_yr,captive_yr,colonial,quality,note
Eyestripe surgeonfish,Acanthurus dussumieri,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,3743.15,30,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Lined surgeonfish,Acanthurus lineatus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,1024.14,46,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Elongate surgeonfish,Acanthurus mata,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,2599.99,23,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Whitecheek surgeonfish,Acanthurus nigricans,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,620,34,,no,C,
Orangespot surgeonfish,Acanthurus olivaceus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,1127.73,33,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Mimic surgeonfish,Acanthurus pyroferus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,503.289,28,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Ocean surgeonfish,Acanthurus tractus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,1385.94,31,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Yellowfin surgeonfish,Acanthurus xanthopterus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,6808.31,34,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Striped sandgoby,Acentrogobius pflaumii,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Acentrogobius,14.6373,3.9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Western blue groper,Achoerodus gouldii,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Labridae,Achoerodus,39000,70,,no,C,
Siberian sturgeon,Acipenser baerii,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,210000,64,,no,C,
Shortnose sturgeon,Acipenser brevirostrum,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,9325,67,,no,B,
Lake sturgeon,Acipenser fulvescens,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,40000,152,,no,A,
Russian sturgeon,Acipenser gueldenstaedtii,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,63250,46,,no,B,
Green sturgeon,Acipenser medirostris,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,159000,60,,no,C,
Fringebarbel sturgeon,Acipenser nudiventris,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,80000,30,,no,C,
Atlantic sturgeon,Acipenser oxyrinchus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,202400,60,,no,B,
Sterlet,Acipenser ruthenus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,8800,,46.1,no,B,
Amur sturgeon,Acipenser schrenckii,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,104500,60,,no,B,
Chinese sturgeon,Acipenser sinensis,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,600000,33,,no,C,
Star sturgeon,Acipenser stellatus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,44000,27,,no,B,
European sturgeon,Acipenser sturio,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,220000,100,,no,B,
White sturgeon,Acipenser transmontanus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,448800,104,,no,B,
Emerald clingfish,Acyrtops beryllinus,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Acyrtops,0.110538,1,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Longfin icedevil,Aethotaxis mitopteryx,Animalia,Chordata,Actinopterygii,Perciformes/Notothenioidei,Nototheniidae,Aethotaxis,563.6,35,,no,C,
Armed bullhead,Agonus cataphractus,Animalia,Chordata,Actinopterygii,Perciformes,Agonidae,Agonus,89.1687,3,,no,B,
Giant grenadier,Albatrossia pectoralis,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,86000,56,,no,B,
Bonefish,Albula vulpes,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,Albula,10000,20,,no,C,
Schneider,Alburnoides bipunctatus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides,31,6,,no,C,
Kura chub,Alburnoides eichwaldii,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides,28.7232,6,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Alburnoides qanati,Alburnoides qanati,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides,7.44492,11.9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Tabarestan riffle minnow,Alburnoides tabarestanensis,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides,23.34,5,,no,C,
Bleak,Alburnus alburnus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,100,7,,no,C,
Alburnus belvica,Alburnus belvica,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,141.178,8,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Danube bleak,Alburnus chalcoides,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,1250,9,,no,C,
North Caucasian bleak,Alburnus hohenackeri,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,47.9705,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Alburnus mentoides,Alburnus mentoides,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,36.7236,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Mossul bleak,Alburnus mossulensis,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,97.6,4,,no,C,
Alburnus scoranza,Alburnus scoranza,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,47.4,5,,no,C,
Yellow-eye mullet,Aldrichetta forsteri,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Aldrichetta,522.5,7,,no,B,
Baird's smoothhead,Alepocephalus bairdii,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,14305,38,,no,B,
Risso's smooth-head,Alepocephalus rostratus,Animalia,Chordata,Actinopterygii,Alepocephaliformes,Alepocephalidae,Alepocephalus,1443.76,23,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Silversides,Alestes baremoze,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Alestes,500,6,,no,C,
Characin,Alestes dentex,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Alestes,600,7,,no,C,
Cherry snailfish,Allocareproctus jordani,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Liparidae,Allocareproctus,730,8,,no,C,
Black oreo,Allocyttus niger,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Allocyttus,825,100,,no,B,
Warty oreo,Allocyttus verrucosus,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,Allocyttus,1100,140,,no,B,
Blueback shad,Alosa aestivalis,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,110,8,,no,B,
Twaite shad,Alosa agone,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,825,25,,no,B,
Alabama shad,Alosa alabamae,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,2473.11,4,,no,B,
Alice shad,Alosa alosa,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,2200,10,,no,B,
Caspian shad,Alosa caspia,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,65,7,,no,B,
Blue herring,Alosa chrysochloris,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,935,4,,no,B,
Twaite shad,Alosa fallax,Animalia,Chordata,Actinopterygii,Clupeiformes,Alosidae,Alosa,2000,25,,no,C,
Pontic shad,Alosa immaculata,Animalia,Chordata,Actinopterygii,Clupeiformes,Alosidae,Alosa,440,7,,no,C,
Caspian anadromous shad,Alosa kessleri,Animalia,Chordata,Actinopterygii,Clupeiformes,Alosidae,Alosa,1200,8,,no,C,
Killarney shad,Alosa killarnensis,Animalia,Chordata,Actinopterygii,Clupeiformes,Alosidae,Alosa,137.099,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Macedonia shad,Alosa macedonica,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,330,10,,no,B,
Black sea shad,Alosa maeotica,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,331.7,6,,no,B,
Alewife,Alosa pseudoharengus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,110,8,,no,B,
American shad,Alosa sapidissima,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,3025,13,,no,B,
Saposhnikovi shad,Alosa saposchnikowii,Animalia,Chordata,Actinopterygii,Clupeiformes,Alosidae,Alosa,469,9,,no,C,
Alpine bullhead,Alpinocottus poecilopus,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Cottidae,Alpinocottus,60.827,8,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Convict cichlid,Amatitlania nigrofasciata,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Amatitlania,52.6829,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Mud flathead,Ambiserrula jugosa,Animalia,Chordata,Actinopterygii,Perciformes/Scorpaenoidei,Platycephalidae,Ambiserrula,35.8115,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Ozark bass,Ambloplites constellatus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Centrarchidae,Ambloplites,450,9,,no,C,
Rock bass,Ambloplites rupestris,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Ambloplites,824,18,,no,B,
Spotted sardinella,Amblygaster sirm,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Amblygaster,366.635,8,,no,B,
Bynoe goby,Amblygobius bynoensis,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Amblygobius,18.917,1.08,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Whitebarred goby,Amblygobius phalaena,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Amblygobius,29.8756,1.17,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
White catfish,Ameiurus catus,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,5362.5,14,,no,B,
Black bullhead,Ameiurus melas,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,1995.5,10,,no,B,
Yellow bullhead,Ameiurus natalis,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,1278,7,,no,B,
Brown bullhead,Ameiurus nebulosus,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,3350,12,,no,C,
Flat bullhead,Ameiurus platycephalus,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,177.649,7,,no,B,
Bowfin,Amia calva,Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,Amia,5362.5,30,,no,B,
Western sand darter,Ammocrypta clara,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Ammocrypta,2.65729,3,,no,B,
American sand lance,Ammodytes americanus,Animalia,Chordata,Actinopterygii,Perciformes/Uranoscopoidei,Ammodytidae,Ammodytes,42.1846,12,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Northern sand lance,Ammodytes dubius,Animalia,Chordata,Actinopterygii,Perciformes/Uranoscopoidei,Ammodytidae,Ammodytes,44.0267,9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Pacific sand lance,Ammodytes hexapterus,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,100,8,,no,B,
Sand eel,Ammodytes marinus,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,62.1747,10,,no,B,
Pacific sandlance,Ammodytes personatus,Animalia,Chordata,Actinopterygii,Perciformes/Uranoscopoidei,Ammodytidae,Ammodytes,10.6,3,,no,C,
Lesser sand eel,Ammodytes tobianus,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,37.1464,7,,no,B,
Marbled mountain catfish,Amphilius jacksonii,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,18.1721,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Black clown,Amphiprion clarkii,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,135.552,11,,no,B,
Red saddleback anemonefish,Amphiprion ephippium,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,61.0185,16,,no,B,
Black anemonefish,Amphiprion melanopus,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,41.6792,5,,no,B,
Clownfish,Amphiprion ocellaris,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,25,12,30,no,B,
Barred surfperch,Amphistichus argenteus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,1100,9,,no,B,
Redtail surfperch,Amphistichus rhodoterus,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Embiotocidae,Amphistichus,973.537,9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Spanish minnowcarp,Anaecypris hispanica,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Anaecypris,5.78605,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Atlantic wolffish,Anarhichas lupus,Animalia,Chordata,Actinopterygii,Perciformes/Zoarcoidei,Anarhichadidae,Anarhichas,23580,22,,no,C,
Danford's killifish,Anatolichthys danfordii,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aphaniidae,Anatolichthys,1.50212,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Deepbody anchovy,Anchoa compressa,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,32.3892,6,,no,B,
Slough anchovy,Anchoa delicatissima,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,12.5496,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bay anchovy,Anchoa mitchilli,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,15.955,3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
European eel,Anguilla anguilla,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,1000,25,85,no,A,Captive record Putte
Shortfin eel,Anguilla australis,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,4100,32,,no,B,
Indonesian shortfin eel,Anguilla bicolor,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,3800,20,,no,B,
New Zealand longfin eel,Anguilla dieffenbachii,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,13000,60,,no,B,
African mottled eel,Anguilla labiata,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,20640,15,,no,C,
Marbled eel,Anguilla marmorata,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,11275,40,,no,B,
African longfin eel,Anguilla mossambica,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,412.5,20,,no,B,
Long-finned eel,Anguilla nebulosa,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,11000,15,,no,B,
Speckled longfin eel,Anguilla reinhardtii,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,8965,41,,no,B,
American eel,Anguilla rostrata,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,4031.5,,50,no,B,
Xantic sargo,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Haemulidae,Anisotremus,3511.99,15,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Sablefish,Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Perciformes,Anoplopomatidae,Anoplopoma,31350,114,,no,B,
Finescale mora,Antimora microlepis,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Antimora,5260,46,,no,C,
Blue antimora,Antimora rostrata,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Antimora,3600,44,,no,C,
Fourspine stickleback,Apeltes quadracus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,3.12589,3,,no,B,
Black scabbardfish,Aphanopus carbo,Animalia,Chordata,Actinopterygii,Scombriformes,Trichiuridae,Aphanopus,4232,32,,no,C,
Intermediate scabbardfish,Aphanopus intermedius,Animalia,Chordata,Actinopterygii,Scombriformes,Trichiuridae,Aphanopus,5573.26,15,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Small toothed jobfish,Aphareus furca,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Lutjanidae,Aphareus,906,9,,no,C,
Rusty jobfish,Aphareus rutilans,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Lutjanidae,Aphareus,11325,16,,no,C,
Transparent goby,Aphia minuta,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Aphia,3.33939,1,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Pirate perch,Aphredoderus sayanus,Animalia,Chordata,Actinopterygii,Percopsiformes,Aphredoderidae,Aphredoderus,16.3855,4,,no,B,
Freshwater drum,Aplodinotus grunniens,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Aplodinotus,13292.5,13,,no,B,
Hawaiian ruby cardinalfish,Apogon erythrinus,Animalia,Chordata,Actinopterygii,Kurtiformes,Apogonidae,Apogon,1.88877,0.33,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Cardinal fish,Apogon imberbis,Animalia,Chordata,Actinopterygii,Kurtiformes,Apogonidae,Apogon,87.821,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Apricaphanius baeticus,Apricaphanius baeticus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aphaniidae,Apricaphanius,0.81852,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Spanish toothcarp,Apricaphanius iberus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aphaniidae,Apricaphanius,2.09777,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Blue-gray snapper,Aprion virescens,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Aprion,8470,21,,no,B,
Arabibarbus arabicus,Arabibarbus arabicus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Arabibarbus,337.436,7,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Shabout,Arabibarbus grypus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Arabibarbus,30000,17,,no,C,
Arapaima,Arapaima gigas,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,100000,20,20,no,B,
Sacramento perch,Archoplites interruptus,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Archoplites,792,6,,no,B,
Sheepshead,Archosargus probatocephalus,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Archosargus,2000,20,,no,B,
Western Atlantic seabream,Archosargus rhomboidalis,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Archosargus,550,2,,no,C,
Japanese sandfish,Arctoscopus japonicus,Animalia,Chordata,Actinopterygii,Perciformes/Uranoscopoidei,Trichodontidae,Arctoscopus,200,6,,no,C,
Silverside,Argentina elongata,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae,Argentina,473.013,16,,no,B,
North-Pacific argentine,Argentina sialis,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina,76.8692,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Atlantic argentine,Argentina silus,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae,Argentina,5378.55,35,,no,B,
Argentine,Argentina sphyraena,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina,555.598,16,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Blackfin pearlfish,Argolebias nigripinnis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Argolebias,4.01428,1,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Half-naked hatchetfish,Argyropelecus hemigymnus,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus,1.42,1,,no,C,
Taiwan tai,Argyrops bleekeri,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Argyrops,4023.25,5,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Soldierbream,Argyrops filamentosus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Argyrops,6046.32,10,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
King soldierbream,Argyrops spinifer,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Argyrops,4970,25,,no,C,
Southern meagre,Argyrosomus hololepidotus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Argyrosomus,71000,30,,no,C,
Mild meagre,Argyrosomus inodorus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Argyrosomus,36300,25,,no,C,
Southern meagre,Argyrosomus japonicus,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,41250,30,,no,B,
Meagre,Argyrosomus regius,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Argyrosomus,103000,42,,no,C,
Carpenter seabream,Argyrozona argyrozona,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Argyrozona,5900,27,,no,C,
